Date,CO2
1807-11-15,282.39408153248183
1807-12-15,282.3900000000025
1808-01-15,282.3861554350105
1808-02-15,282.38255157040385
1808-03-15,282.3791895359756
1808-04-15,282.37607046151874
1808-05-15,282.3731954768263
1808-06-15,282.3705657116915
1808-07-15,282.36818229590716
1808-08-15,282.3660463592665
1808-09-15,282.36415903156245
1808-10-15,282.3625214425881
1808-11-15,282.36113472213646
1808-12-15,282.3600000000007
1809-01-15,282.35912046011276
1809-02-15,282.3585075029612
1809-03-15,282.3581745831735
1809-04-15,282.3581351553771
1809-05-15,282.35840267419974
1809-06-15,282.3589905942687
1809-07-15,282.35991237021165
1809-08-15,282.36118145665597
1809-09-15,282.36281130822925
1809-10-15,282.36481537955905
1809-11-15,282.3672071252728
1809-12-15,282.369999999998
1810-01-15,282.37320184491097
1810-02-15,282.37679804738195
1810-03-15,282.38076838133026
1810-04-15,282.3850926206749
1810-05-15,282.3897505393351
1810-06-15,282.3947219112299
1810-07-15,282.39998651027844
1810-08-15,282.40552411039977
1810-09-15,282.41131448551306
1810-10-15,282.41733740953737
1810-11-15,282.42357265639185
1810-12-15,282.42999999999563
1811-01-15,282.43659646578624
1811-02-15,282.44332808527463
1811-03-15,282.45015814149
1811-04-15,282.45704991746203
1811-05-15,282.4639666962199
1811-06-15,282.470871760793
1811-07-15,282.47772839421066
1811-08-15,282.48449987950227
1811-09-15,282.4911494996973
1811-10-15,282.49764053782496
1811-11-15,282.5039362769148
1811-12-15,282.509999999996
1812-01-15,282.5157942363648
1812-02-15,282.5212785003845
1812-03-15,282.5264115526851
1812-04-15,282.5311521538968
1812-05-15,282.53545906464973
1812-06-15,282.5392910455738
1812-07-15,282.54260685729935
1812-08-15,282.54536526045626
1812-09-15,282.54752501567475
1812-10-15,282.54904488358477
1812-11-15,282.5498836248166
1812-12-15,282.5500000000002
1813-01-15,282.5493585331801
1813-02-15,282.5479468020589
1813-03-15,282.54575814775336
1813-04-15,282.5427859113805
1813-05-15,282.5390234340573
1813-06-15,282.5344640569007
1813-07-15,282.5291011210275
1813-08-15,282.5229279675548
1813-09-15,282.5159379375994
1813-10-15,282.5081243722784
1813-11-15,282.49948061270857
1813-12-15,282.49000000000694
1814-01-15,282.4796825105509
1814-02-15,282.46855466176
1814-03-15,282.4566496063139
1814-04-15,282.4440004968927
1814-05-15,282.43064048617646
1814-06-15,282.4166027268449
1814-07-15,282.4019203715781
1814-08-15,282.38662657305593
1814-09-15,282.37075448395836
1814-10-15,282.3543372569653
1814-11-15,282.3374080447567
1814-12-15,282.3200000000125
1815-01-15,282.30214869317837
1815-02-15,282.2838993657629
1815-03-15,282.2652996770407
1815-04-15,282.2463972862861
1815-05-15,282.22723985277344
1815-06-15,282.20787503577736
1815-07-15,282.18835049457203
1815-08-15,282.16871388843214
1815-09-15,282.14901287663196
1815-10-15,282.1292951184459
1815-11-15,282.10960827314847
1815-12-15,282.090000000014
1816-01-15,282.0705132260677
1816-02-15,282.0511719493367
1816-03-15,282.031995435599
1816-04-15,282.0130029506325
1816-05-15,281.99421376021513
1816-06-15,281.97564713012474
1816-07-15,281.95732232613926
1816-08-15,281.9392586140366
1816-09-15,281.9214752595946
1816-10-15,281.9039915285913
1816-11-15,281.8868266868045
1816-12-15,281.87000000001217
1817-01-15,281.85352988411296
1817-02-15,281.837431355489
1817-03-15,281.82171858064305
1817-04-15,281.80640572607797
1817-05-15,281.79150695829657
1817-06-15,281.77703644380165
1817-07-15,281.76300834909614
1817-08-15,281.7494368406828
1817-09-15,281.7363360850646
1817-10-15,281.72372024874414
1817-11-15,281.71160349822446
1817-12-15,281.7000000000084
1818-01-15,281.68892047829075
1818-02-15,281.67836188803466
1818-03-15,281.6683177418954
1818-04-15,281.658781552528
1818-05-15,281.64974683258794
1818-06-15,281.6412070947302
1818-07-15,281.63315585160996
1818-08-15,281.6255866158825
1818-09-15,281.6184929002031
1818-10-15,281.6118682172267
1818-11-15,281.60570607960864
1818-12-15,281.6000000000042
1819-01-15,281.5947465361052
1819-02-15,281.5899544257514
1819-03-15,281.5856354518191
1819-04-15,281.5818013971847
1819-05-15,281.57846404472446
1819-06-15,281.57563517731495
1819-07-15,281.57332657783246
1819-08-15,281.5715500291534
1819-09-15,281.5703173141542
1819-10-15,281.5696402157112
1819-11-15,281.56953051670087
1819-12-15,281.56999999999937
1820-01-15,281.57105749768095
